datetime,symbol,open,high,low,close,volume,symbol_group,asset_class,expiry
2017-09-15 00:00:00+00:00,AAPL,157.26,159.74,156.79,158.66,49114600,AAPL,STK,
2017-09-18 00:00:00+00:00,AAPL,158.89,159.28,156.79,157.46,28269400,AAPL,STK,
2017-09-19 00:00:00+00:00,AAPL,158.29,158.55,157.23,157.52,20810600,AAPL,STK,
2017-09-20 00:00:00+00:00,AAPL,156.7,157.05,152.66,154.88,52951400,AAPL,STK,
2017-09-21 00:00:00+00:00,AAPL,154.61,154.61,151.58,152.22,37511700,AAPL,STK,
2017-09-22 00:00:00+00:00,AAPL,150.38,151.11,149.41,150.73,46645400,AAPL,STK,
2017-09-25 00:00:00+00:00,AAPL,148.85,150.67,148.02,149.4,44387300,AAPL,STK,
2017-09-26 00:00:00+00:00,AAPL,150.62,152.75,150.53,151.97,36660000,AAPL,STK,
2017-09-27 00:00:00+00:00,AAPL,152.63,153.54,152.37,153.05,25504200,AAPL,STK,
2017-09-28 00:00:00+00:00,AAPL,152.72,153.1,151.54,152.11,22005500,AAPL,STK,
2017-09-29 00:00:00+00:00,AAPL,152.04,152.95,150.84,152.94,26299800,AAPL,STK,
2017-10-02 00:00:00+00:00,AAPL,153.08,153.27,151.56,152.64,18698800,AAPL,STK,
2017-10-03 00:00:00+00:00,AAPL,152.84,153.91,152.74,153.3,16230300,AAPL,STK,
2017-10-04 00:00:00+00:00,AAPL,152.46,152.69,151.3,152.31,20163800,AAPL,STK,
2017-10-05 00:00:00+00:00,AAPL,153.0,154.25,152.87,154.2,21283800,AAPL,STK,
2017-10-06 00:00:00+00:00,AAPL,153.79,154.3,153.38,154.12,17407600,AAPL,STK,
2017-10-09 00:00:00+00:00,AAPL,154.62,155.53,154.3,154.65,16262900,AAPL,STK,
2017-10-10 00:00:00+00:00,AAPL,154.87,156.79,153.92,154.71,15617000,AAPL,STK,
2017-10-11 00:00:00+00:00,AAPL,154.78,155.78,154.56,155.36,16905600,AAPL,STK,
2017-10-12 00:00:00+00:00,AAPL,155.16,156.17,154.54,154.81,16125100,AAPL,STK,
2017-10-13 00:00:00+00:00,AAPL,155.53,156.08,155.22,155.79,16394200,AAPL,STK,
2017-10-16 00:00:00+00:00,AAPL,156.7,158.78,156.45,158.66,24121500,AAPL,STK,
2017-10-17 00:00:00+00:00,AAPL,158.56,159.64,158.02,159.25,18997300,AAPL,STK,
2017-10-18 00:00:00+00:00,AAPL,159.2,159.48,158.38,158.54,16374200,AAPL,STK,
2017-10-19 00:00:00+00:00,AAPL,155.55,155.88,153.84,154.79,42584200,AAPL,STK,
2017-10-20 00:00:00+00:00,AAPL,155.42,156.55,154.77,155.06,23974100,AAPL,STK,
2017-10-23 00:00:00+00:00,AAPL,155.69,156.49,154.31,154.98,21984300,AAPL,STK,
2017-10-24 00:00:00+00:00,AAPL,155.1,156.22,155.01,155.9,17757200,AAPL,STK,
2017-10-25 00:00:00+00:00,AAPL,155.71,156.35,154.09,155.22,21207100,AAPL,STK,
2017-10-26 00:00:00+00:00,AAPL,156.03,156.63,155.58,156.21,17000500,AAPL,STK,
2017-10-27 00:00:00+00:00,AAPL,158.07,162.35,157.49,161.81,44454200,AAPL,STK,
2017-10-30 00:00:00+00:00,AAPL,162.64,166.79,162.47,165.45,44700800,AAPL,STK,
2017-10-31 00:00:00+00:00,AAPL,166.62,168.36,165.67,167.75,36046800,AAPL,STK,
2017-11-01 00:00:00+00:00,AAPL,168.57,168.64,164.35,165.62,33637800,AAPL,STK,
2017-11-02 00:00:00+00:00,AAPL,165.33,167.21,164.02,166.83,41393400,AAPL,STK,
2017-11-03 00:00:00+00:00,AAPL,172.67,172.93,169.81,171.18,59398600,AAPL,STK,
